Flag Word,Reference category,Possible Rating,Extra Comments
neighborhood,Political,R1,
locality,Political,R1,
parish,Political,R1,
region,Political,R1,
community,Political,R1,
department,Political,R1,
precinct,Political,R1,
territory,Political,R1,
section,Political,R1,
vaccine,Sensitive/Health/Kids,R2,
adult,Sensitive/Health/Kids,R2,
Abortion,Sensitive/Health/Kids,R2,
miscarriage,Sensitive/Health/Kids,R2,
dating,Sensitive/Health/Kids,R2,
come from,Sensitive/Health/Kids,R2,
register,Sensitive/Health/Kids,R2,
determine,Sensitive/Health/Kids,R2,
mark,Sensitive/Health/Kids,R2,
belong to,Sensitive/Health/Kids,R2,
Prenatal,Sensitive/Health/Kids,R2,
fetal,Sensitive/Health/Kids,R2,
OTC,Sensitive/Health/Kids,R2,
exchange,Sensitive/Health/Kids,R2,
Health,Sensitive/Health/Kids,R2,
energy,Sensitive/Health/Kids,R2,
strength,Sensitive/Health/Kids,R2,
well-being,Sensitive/Health/Kids,R2,
fitness,Sensitive/Health/Kids,R2,
Prescription,Sensitive/Health/Kids,R2,
remedy,Sensitive/Health/Kids,R2,
instruction,Sensitive/Health/Kids,R2,
recipe,Sensitive/Health/Kids,R2,
drug,Sensitive/Health/Kids,R2,
Diagnosis ,Sensitive/Health/Kids,R2,
interpretation,Sensitive/Health/Kids,R2,
investigation,Sensitive/Health/Kids,R2,
examination,Sensitive/Health/Kids,R2,
analysis,Sensitive/Health/Kids,R2,
conclusion,Sensitive/Health/Kids,R2,
Therapy,Sensitive/Health/Kids,R2,
medicine,Sensitive/Health/Kids,R2,
remedy,Sensitive/Health/Kids,R2,
cure,Sensitive/Health/Kids,R2,
healing,Sensitive/Health/Kids,R2,
analysis,Sensitive/Health/Kids,R2,
Medical,Sensitive/Health/Kids,R2,
therapeutic,Sensitive/Health/Kids,R2,
medicinal,Sensitive/Health/Kids,R2,
Medicine,Sensitive/Health/Kids,R2,
pharmaceutical,Sensitive/Health/Kids,R2,
medication,Sensitive/Health/Kids,R2,
antibiotic,Sensitive/Health/Kids,R2,
drug,Sensitive/Health/Kids,R2,
remedy,Sensitive/Health/Kids,R2,
cure,Sensitive/Health/Kids,R2,
prescription,Sensitive/Health/Kids,R2,
pill,Sensitive/Health/Kids,R2,
disease,Sensitive/Health/Kids,R2,
malady,Sensitive/Health/Kids,R2,
stroke,Sensitive/Health/Kids,R2,
illness,Sensitive/Health/Kids,R2,
syndrome,Sensitive/Health/Kids,R2,
Cancer,Sensitive/Health/Kids,R2,
sickness,Sensitive/Health/Kids,R2,
defect,Sensitive/Health/Kids,R2,
infection,Sensitive/Health/Kids,R2,
virus,Sensitive/Health/Kids,R2,
fever,Sensitive/Health/Kids,R2,
plague,Sensitive/Health/Kids,R2,
epidemic,Sensitive/Health/Kids,R2,
contamination,Sensitive/Health/Kids,R2,
disorder,Sensitive/Health/Kids,R2,
bug,Sensitive/Health/Kids,R2,
condition,Sensitive/Health/Kids,R2,
inflammation,Sensitive/Health/Kids,R2,
flu,Sensitive/Health/Kids,R2,
parent,Sensitive/Health/Kids,R2,
father,Sensitive/Health/Kids,R2,
mother,Sensitive/Health/Kids,R2,
contraceptive,Sensitive/Health/Kids,R2,
pill,Sensitive/Health/Kids,R2,
condom,Sensitive/Health/Kids,R2,
diaphragm,Sensitive/Health/Kids,R2,
hormone,Sensitive/Health/Kids,R2,
kids,Sensitive/Health/Kids,R2,
boy,Sensitive/Health/Kids,R2,
infant,Sensitive/Health/Kids,R2,
daughter,Sensitive/Health/Kids,R2,
son,Sensitive/Health/Kids,R2,
youth,Sensitive/Health/Kids,R2,
teenager,Sensitive/Health/Kids,R2,
child,Sensitive/Health/Kids,R2,
baby,Sensitive/Health/Kids,R2,
girl,Sensitive/Health/Kids,R2,
youngster,Sensitive/Health/Kids,R2,
family,Sensitive/Health/Kids,R2,
clan,Sensitive/Health/Kids,R2,
tribe,Sensitive/Health/Kids,R2,
group,Sensitive/Health/Kids,R2,
people,Sensitive/Health/Kids,R2,
house,Sensitive/Health/Kids,R2,
household,Sensitive/Health/Kids,R2,
folk,Sensitive/Health/Kids,R2,
baby,Sensitive/Health/Kids,R2,
pregnancy,Sensitive/Health/Kids,R2,
wellness,Sensitive/Health/Kids,R2,
wellbeing,Sensitive/Health/Kids,R2,
doctor,Sensitive/Health/Kids,R2,
physician,Sensitive/Health/Kids,R2,
expert,Sensitive/Health/Kids,R2,
specialist,Sensitive/Health/Kids,R2,
professor,Sensitive/Health/Kids,R2,
scientist,Sensitive/Health/Kids,R2,
surgeon,Sensitive/Health/Kids,R2,
surgeon,Sensitive/Health/Kids,R2,
physician,Sensitive/Health/Kids,R2,
expert,Sensitive/Health/Kids,R2,
specialist,Sensitive/Health/Kids,R2,
professor,Sensitive/Health/Kids,R2,
scientist,Sensitive/Health/Kids,R2,
drug,Sensitive/Health/Kids,R2,
pharmaceutical,Sensitive/Health/Kids,R2,
prescription,Sensitive/Health/Kids,R2,
poison,Sensitive/Health/Kids,R2,
narcotic,Sensitive/Health/Kids,R2,
remedy,Sensitive/Health/Kids,R2,
cure,Sensitive/Health/Kids,R2,
medicine,Sensitive/Health/Kids,R2,
pill,Sensitive/Health/Kids,R2,
stimulant,Sensitive/Health/Kids,R2,
Mother,Sensitive/Health/Kids,R2,
mom,Sensitive/Health/Kids,R2,
parent,Sensitive/Health/Kids,R2,
Father,Sensitive/Health/Kids,R2,
dad,Sensitive/Health/Kids,R2,
